名称	区	地址	类型	房源数	车位数	开发商
御锦公馆	福田区 上梅林 	 福田区梅林		582	109	深圳市绿洲丰和投资发展有限公司
金湖雅苑	龙华区 龙华片区 	 龙华清湖地铁口300米		1500	500	山地实业
龙塘生活区	福田区 景田 	 福田区商报路120号		184	-	深圳巴士集团股份有限公司
海伦堡海伦春天	惠州 惠城区 	 惠州市惠城区龙津马房岭		1157	1312	惠州市恒岳房地产开发有限公司
佳兆业假日广场	大鹏新区 大鹏 	 大鹏办事处迎宾北路南侧		1289	841	深圳市大鹏佳兆业房地产开发有限公司
新昌御园	惠州 惠阳区 	 惠阳区新裕路8号（新圩汽车站前行200米）		850	705	惠州市新昌房地产开发有限公司
仲恺高新区	惠州 惠城区 	 惠州市仲恺区和畅二路与仲恺大道交汇处（航天科技园斜对面）		1317	1503	惠州市华邦房地产开发有限公司
润城双璧湾	惠州 惠城区 	 惠州市惠城区惠博大道466号		2855	4713	惠州市润城房地产开发有限公司
半山道一号	龙岗区 布吉 	  深圳市红岭北路银湖生态区凤仪山南侧（清平快速北向凤仪山隧道口前50米右转）		520	772	深圳市紫瑞房地产开发有限公司
莲馨家园	罗湖区 莲塘 	 罗湖区莲塘国威路东边尽头处（梧桐山西南侧）		-	-	深圳市同济人建筑设计有限公司
檀悦豪生度假酒店	惠州 惠东区 	 惠东县港口镇双月湾景区		1531	1300	惠东县长银房地产开发有限公司
新鸿花园、俪景鸿都	龙岗区 龙岗中心区 	 中心城		208	-	深圳市龙岗鸿基房地产开发有限公司
华南城国电大厦A座	龙岗区 平湖 	 龙岗华南城西大门口		-	-	-
富通自在城	东莞 莞城 	 东莞市莞城区运河西三路238号（运河东一号对面）		1376	764	东莞市富通新家园房地产开发有限公司
华盛西荟城一期	宝安区 沙井 	 宝安区沙井街道新沙路南侧		280	389	深圳市华盛置业有限公司
颂德国际	福田区 下梅林片区 	 福田区下梅林一街与下梅林二街交汇处		-		深圳市颂德房地产开发有限公司
平吉上苑二期	龙岗区 平湖 	  深圳市龙岗区平湖新河路与平新北路交汇处		448	500	深圳市平日上房地产开发有限公司
福怡商住中心	宝安区 福永 	 宝安区福永街道政丰北路13		144	144	天津福怡商住大厦投资有限公司
万科广场V寓	龙岗区 龙岗中心区 	 深圳市龙岗区龙翔大道与龙城大道交汇处，文化中心旁		438	-	深圳市龙城广场房地产开发有限公司
嘉霖华禧	龙岗区 坂田 	 龙岗区坂田街道办		709		-
岸上林居	龙岗区 龙岗中心区 	 龙岗区龙城街道		748	664	深圳市龙盛豪庭投资有限公司
万科麓城一期	龙岗区 布吉 	 龙岗区布吉街道		1251	-	深圳市和诚鸿业投资发展有限公司
怀德峰景南园	宝安区 福永 	 宝安区福永街道	高层住宅	600	1581	深圳市怀德房地产开发有限公司
银江春晓家园	龙华区 观澜 	 观澜街道大和路		530	401	深圳市银江置地开发有限公司
上合花园	宝安区 新安老城 	 宝安新安街道上川二路与公园路交汇处上合村		0	1270	深圳市新安上合股份合作公司
栖棠映山花园	福田区 下梅林 	 福田区福龙路西侧		280	752	深圳万庭房地产开发有限公司
万科麓城三期	龙岗区 布吉 	  深圳市龙岗区布龙路与吉华路交汇处（上水径地铁口）		1325	1263	深圳市万鸿嘉投资发展有限公司
珠江四季悦城	惠州 大亚湾 	 惠州市大亚湾区龙海二路		5594	-	珠江投资
万泽云顶香蜜湖B地块	福田区 下梅林 	 福田区塘朗山路		468	500	深圳市玉龙宫实业发展有限公司
东部华侨城天麓二区	盐田区 大梅沙 	 盐田区三洲田		44	88	深圳东部华侨城有限公司
益田村	福田区 石厦 	 福田区福强路与益田路交汇处西北侧		7405	3460	深圳益田集团
华南城环球大厦	龙岗区 平湖 	 龙岗区平湖华南大道一号		-	11000	华南国际股份有限公司
悦澜山花园	龙岗区 龙岗中心区 	 龙岗区龙城街道		1229		清蓝实业（深圳）有限公司
理想城	福田区 上梅林 	 福田区梅林路与凯丰路交汇		537	255	深圳市新润园房地产开发有限公司
骏泰金汐府	龙岗区 龙岗中心区 	 龙东社区同富路和鸿基路交汇处（义乌小商品城正对面）		416	460	深圳市骏泰房地产开发有限公司
东部华侨城天麓一区	盐田区 大梅沙 	 盐田大梅沙东部华侨城内		323	280	深圳华侨城房地产有限公司
湖滨花园（宝安）	宝安区 新安老城片区 	 宝安区湖滨路与龙井二路交汇处西侧		1200	-	-
16区城管局宿舍楼	宝安区 新安老城 	 宝安区新安街道新安二路86号		-		-
迎宾大厦	南山区 蛇口片区 	 南山蛇口太子路一号		350	-	-
深圳中心天元	福田区 福田中心区 	 河园路东侧		478	7500	深圳市金地大百汇房地产开发有限公司
丽湾大厦	南山区 前海 	 深圳前海路与月亮湾大道交汇处		-	600	深圳市新一代物业管理有限公司
大康福盈门大厦	福田区 华强南	南园 		239	340	深圳市大康投资集团有限公司
泡泡海家园	惠州 大亚湾 	 惠州大亚湾区霞涌街道办，东兴路西侧，霞光西路南侧		3059	1716	惠州南海旅游有限公司
半山海花园	大鹏新区 葵涌 	 大鹏新区葵涌办事处土洋社区		599	382	深圳市承翰投资开发集团有限公司
银雅居	龙华区 大浪 	 龙华新城人民北路与龙胜路交汇处		110	145	深圳市龙华经济发展有限公司
碧桂园翡翠山	东莞 黄江 	 东莞市黄江镇莞深高速黄江收费站出口		2123	-	东莞市黄江碧桂园房地产开发有限公司
华侨城四海锦园	龙岗区 平湖 	 深圳平湖富安大道（华润配送中心旁或华南城北门水门路 ）		606	420	深圳恒祥基房地产开发有限公司
宝丰苑	罗湖区 布心 	 深圳市罗湖区金稻田路围岭公园东侧（布心地铁A出口）		90	105	深圳仙诺制药有限公司
宏发世纪城二期南区	宝安区 石岩 	 宝安区石岩街道		1563	1714	深圳市宏发房地产开发有限公司
3号别墅	东莞 松山湖 	 东莞市松山湖松湖烟雨景区旁（万科生活广场对面）		-	-	东莞碧玥山庄房地产有限公司
华苑	宝安区 西乡 	 宝安区西乡街道		286	-	华银通宝投资有限公司
松河瑞园二期	宝安区 松岗 	 宝安区松岗街道		2086	-	深圳市喜盈盈投资有限公司
山海四季城Ⅱ公园道	盐田区 盐田港 	 盐田港后方陆域北山道与盐田路交汇处		264	190	深圳市鹏广达商业管理有限公司
星河传奇铂寓S	龙华区 大浪 	 龙华新区民治上塘		867	860	深圳市瑞和佳源房地产开发有限公司
灿邦新天地	惠州 大亚湾 	 大亚湾龙海二路与龙山十路交汇处		567	2858	灿邦地产
长庆小时代雅轩	龙岗区 布吉 	 深圳市龙岗区布吉街道科技园路与景芬路交汇处		152	68	深圳市长庆房地产开发有限公司
华创云轩	龙岗区 坂田 	 深圳市龙岗区坂雪岗大道与稼先路交汇处		990	400	深圳市众驰伟业投资发展有限公司
南荔苑	南山区 南油 	 内环路以北、南山大道以西		-	133	深圳市文广房地产开发有限公司
泊郡雅苑	盐田区 盐田港 	 盐田区盐田街道明珠大道北		486	-	深圳市鸿泰实业股份有限公司
前海枫叶大厦	南山区 南山中心区 	 南山区常兴路与丁头南巷交汇处西北侧	* 商业、住宅等	431	278	深圳市向南枫叶投资有限公司
桐林公寓	福田区 华强南	南园 		956	125	深圳市桐林房地产开发有限公司
阳光花园三期	龙岗区 布吉 	 布吉镇		1232	-	深圳市银浩实业有限公司
凯南莱弗城	惠州 大亚湾 	 大亚湾区西区龙海二路与龙山三路交汇处		2438	2718	惠州市凯南房地产开发有限公司
牧云溪谷三期	龙岗区 坪地 	 龙岗大道与长山路交汇处		-	14654	惠州市瑞景丰实业有限公司
山水芳邻	惠州 惠阳区 	 惠阳区新圩镇深惠公路打禾岗段（七星宾馆斜对面）		788	113	惠州富源达房地产开发有限公司
听涛雅苑	惠州 惠阳区 	 大亚湾区经济技术开发区中心区北段(自来水厂南侧)		2700	600	惠州市昌浩房地产开发有限公司
富川瑞园	惠州 惠城区 	 仲恺大道（新海关往前500米）		1766	1766	惠州市金大洲房地产开发有限公司
金城大第花园（二期）	光明区 光明 	 宝安区光明镇		1074	-	深圳市金城光明房地产有限公司
松湖春天	东莞 大岭山 	 东莞市大岭山镇金桔村		985	629	东莞市广源房地产开发有限公司
中海西岸华府（北区）	宝安区 松岗 	 宝安区松岗街道沙江路		3100	-	中海宝松物业发展（深圳）有限公司
合正东部湾	惠州 惠东区 	 惠州市惠东县稔山镇亚婆角度假区惠州海湾大桥旁		1282	658	惠东兴汇城建有限公司
汤泉半岛	惠州 惠城区 	 惠州江北区汤泉高尔夫球场内		438	573	惠州建祥房地产开发有限公司
金地名峰	龙岗区 龙岗中心区 	 龙岗区龙岗镇		1233	1180	深圳市金地宝城房地产开发有限公司
慢城一期	龙岗区 布吉 	 布吉镇		555	497	深圳市承翰投资开发有限公司
振业乡墅	惠州 惠阳区 	 惠阳区惠阳经济开发区西南角		8205	681	惠州市惠阳区振业创新发展有限公司
保利山水城	惠州 惠城区 	 惠城区惠博沿江路东江水利枢纽北侧		2542	1512	惠州保利龙胜房地产开发有限公司
信义锦绣花园三期	龙岗区 横岗 	 横岗康乐路与红棉一路交汇处		1797	1238	深圳市信义房地产开发有限公司
腾阁	宝安区 新安老城 	 宝安区宝民一路与上川路交界处		228	160	深圳市腾凯实业有限公司
汉京峰景苑	南山区 南油 	 蛇口沃尔玛旁，东滨路以南、向南路东侧		832	265	深圳市西格实业发展有限公司
御府名筑花园	龙岗区 龙岗中心区 	 深圳市龙岗区龙城街道		-		深圳市城龙房地产开发有限公司
弘雅花园三期	宝安区 新安老城 	 宝安区新安街道建安一路502号		1075	628	深圳鸿荣源房地产开发有限公司
皇庭玺园	盐田区 大梅沙 	 盐田区大梅沙		46	-	深圳市俊城房地产开发有限公司
世纪春城八号公寓	龙华区 民治片区 	 龙华新区民治街道梅龙路与民安路交汇处		300	-	深圳恒安房地产开发有限公司
波托菲诺纯水岸二期	南山区 华侨城 	 南山区华侨城香山街		23	46	深圳华侨城房地产有限公司
浩铭财富广场	福田区 农科 	 深南大道北侧		-		深圳市时代财富实业集团有限公司
鸿业苑二期	罗湖区 翠竹 	 罗湖区爱国者路与鸿业街交汇处		153	-	深圳市鸿基房地产有限公司
29号大院西区	罗湖区 翠竹片区 	 罗湖区爱国者路与东门北路交汇处		-	-	-
中环花园三期	龙华区 龙华中心 	 龙华镇中环		380	75	深圳市深房集团宝安开发有限公司
大运城邦二期	龙岗区 龙岗中心区 	 东莞市凤岗镇，紧邻贯通深圳和东莞的城市交通要道龙平路		6331	4812	东莞市益田奥城房地产投资有限公司
缤纷世纪公寓	龙岗区 龙岗中心区 	 龙岗区龙城街道		638	-	深圳市金海港实业有限公司
深港公司宿舍	罗湖区 黄贝岭 	 罗湖区新秀村秀南街19号		-		-
龙电花园B区	南山区 蛇口 	 南山区南海大道与工业八路交汇处北侧		-		深圳市鹏基龙电股份有限公司
颐林雅院二期	福田区 上梅林 	 上梅林中康北路		676	346	深圳市盈升地产建筑发展有限公司
香荔花园三期	福田区 农科 	 农轩路与红荔西路交汇处		124	250	深圳市农科房地产开发有限公司
东海丽景花园	盐田区 盐田片区 	 盐田区盐田路与东海道交汇处东侧		1290	-	深圳市六合盛置业发展有限公司
中旅广场	南山区 华侨城片区 	 华侨城铜锣湾		792	340	深圳华侨城房地产有限公司
华茂欣园	福田区 景田 	 福田区红荔西路7001号		305	327	深圳市新兴华茂实业有限公司
深港1号	福田区 皇岗 	 福田区百合路与福田南路交汇处西北侧		1396	450	深圳市皇城地产有限公司
南方证券大厦	罗湖区 宝安南 	 罗湖区建设路2018号		-	-	深圳市中盛投资开发有限公司
集华花园	福田区 皇岗 	 福田区金田路2010号		192	110	深圳市集华有限公司
豪峰园	福田区 香蜜湖 	 福田区侨香路1048号		276	210	深圳通威实业有限公司
海滨广场福长阁	福田区 皇岗片区 	 福田区彩田路与吉龙三街交汇处西北侧		90	680	海滨广场地产发展深圳有限公司
华明楼	福田区 皇岗 	 福田区福强路海滨广场吉龙三街		154	135	华明楼物业有限公司
海滨广场福荣阁	福田区 皇岗片区 	 福田区彩田路与吉龙三街交汇处西北侧		-	680	海滨广场地产发展深圳有限公司
福华新村	福田区 福田中心区 	 福田区福华村		2048	1563	-
东方欣悦居	福田区 石厦 	 福民路		117	68	深圳市东方欣悦实业有限公司
中港城	福田区 石厦 	 福田区福强路与石厦北二街交汇处东北侧		498	300	深圳市新保康实业发展有限公司
福宇轩	福田区 车公庙 	 福田区新沙路25号		250		-
景尚雅苑	福田区 景田 	 景田北		400	192	深圳市文兴房地产开发有限公司
梅林二村	福田区 下梅林 	 福田区梅华路与梅中路交汇处西北侧		560	150	深圳市住宅局
梅林四村	福田区 上梅林 	 福田区梅林路与中康路交汇处西南侧		2800	800	深圳市莲花物业管理有限公司
擎天华庭	福田区 景田 	 景田路		516	310	深圳信德丰房地产有限公司
朗晴馨洲	福田区 新洲 	 滨河路新洲段		404	200	深圳市大综艺房地产开发有限公司
景茗苑	福田区 景田 	 福田区景田路84号		126		-
俊景豪园	福田区 景田 	 福田区香梅路2002号		648	350	深圳市鸿威房地产开发有限公司
廊桥国际	福田区 皇岗 	 福田区百合路与福田南路交汇处西北侧		1396	810	深圳市皇城地产有限公司
景田西小区	福田区 景田 	 福田景田路与景田北三街交汇处		-	200	国土局
蓝宝石名庭	福田区 上梅林片区 	 福田区中康路与广厦路交汇处东侧		154		-
圣莫丽斯花园一期	龙华区 民治 	 龙华新区民治街道玉龙路西侧		1198	1525	深圳市华来利实业有限公司
万家灯火花园	龙华区 民治 	 龙华镇梅观高速		911	-	深圳市鹏宝东物业发展有限公司
乐景花园	龙华区 龙华中心 	 宝安区东环一路与和平东路交汇处东侧		342	200	深圳市源发地产有限公司
玉华花园	龙华区 大浪 	 宝安区民治街道人民北路与龙胜路交汇处北侧		528		合能地产
宝乐花园	宝安区 新安老城 	 宝安区新安街道宝民一路一巷65号		192	118	中粮地产（集团）股份有限公司
泰华花园	宝安区 新安老城 	 宝安区新安街道宝民一路一巷69号		240	95	泰华房地产（中国）有限公司
碧涛苑	宝安区 新安老城 	 宝安区新安街道宝民一路213号		-	50	碧涛地产
华安苑	宝安区 翻身 	 宝安区新安街道甲岸路39号		-		-
富源商贸大厦	宝安区 翻身片区 	 宝安区翻身路与创业一路交汇处东南侧		312	156	深圳市富源房地产开发有限公司
融景园	宝安区 翻身 	 宝安区新安街道办裕安二路		230	200	深圳市融景实业有限公司
名城花园	宝安区 西乡 	 宝安区西乡大道与乐群二路交汇处东南侧		196	40	-
安乐花园	宝安区 翻身 	 宝安35区翻身路		-	-	-
雕塑家园	福田区 上梅林片区 	 福田区福田上梅林北环辅道与中康路交汇处		-		-
翠馨居	福田区 八卦岭 	 八卦四路		474	390	深圳市景创实业有限公司
碧景园	福田区 景田 	 福田区景田路81号		112	112	理想四维地产集团有限公司
中华花园	罗湖区 布心 	 罗湖区太白路4017号		514	-	深圳市中华自行车有限公司
星桂园	罗湖区 桂园蔡屋围 	 罗湖区桂园路		536	300	利联实业发展（深圳）有限公司
玉雅居	罗湖区 莲塘 	 罗湖区罗沙公路2068号		475	-	-
安通花园	福田区 景田 	 福田区景田东路36号		232	-	-
雍翠豪园	罗湖区 莲塘 	 罗湖区国威路与畔山路交汇处东北侧		446	158	深圳市维拉顿房地产开发有限公司
东部阳光花园	盐田区 沙头角 	 盐田区梧桐路与下梧桐路交汇处东南侧		520	480	深圳市大禹投资发展有限公司
南天花园	福田区 园岭白沙岭 	 福田区上步中路		-	900	深圳市城建房地产开发有限公司
天海豪景苑	南山区 蛇口 	 南山区爱榕路44		124	180	深圳市招商地产有限公司
天悦园	南山区 后海 	 南山商业文化中心区内		216	160	深圳市金碧湾投资发展有限公司
桃苑公寓	南山区 南山中心区 	 南山大道和学府路交汇处西北侧		975	-	深圳南油房地产有限公司
皇庭香格里花园	南山区 西丽 	 深圳市南山区龙珠大道与龙珠六路交汇处		248	180	深圳市皇庭房地产开发有限公司
华彩天成居	南山区 后海 	 南山商业文化中心环西路与龙岗路交汇处		252	190	深圳市广盛荣投资有限公司
海景花园	南山区 华侨城 	 南山区光侨街8号		727	200	深圳华侨城房地产有限公司
京光海景花园	南山区 南油片区 	 南山区东滨路与后海路交汇‎处		446	-	深圳海滨房产有限公司
天琴湾一、二期	盐田区 大梅沙 	 盐田区盐葵路大梅沙和小梅沙之间的崎头岭半岛		71	60	深圳市富春东方房地产开发有限公司
东海万豪广场	南山区 科技园 	 南山区高新南十一道		56	116	深圳海民实业有限公司
龙佳园	南山区 南油片区 	 南山区南油南光路与登良路交汇处		198		深圳市金龙房地产开发有限公司
东方海雅居	南山区 南油 	 创业路南、南光路西		306	345	深圳市东方中居实业有限公司
滨福世纪广场	南山区 科技园 	 科技大道西、高新南十一路北		1099	173	深圳市福田房地产有限公司
石云村	南山区 蛇口片区 	 石云路边		831		招商局
龙坤居	南山区 南油 	 南山区南光路与登良路交汇处		228	40	深圳市南油天安工业集团
南油南海大厦	南山区 南油 	 南山大道与创业路交汇处		326	104	深圳南油房地产有限公司
名商园	南山区 华侨城 	 白石路		36	36	深圳名商室外运动俱乐部有限公司
鹏基生活区	罗湖区 莲塘 	 罗湖区仙湖路与莲士路交汇处南侧		88	-	-
瑞铧苑	南山区 后海 	 南山区后海路东		224	100	深圳市瑞铧镁投资发展有限公司
泰和花园	罗湖区 布心片区 	 罗湖区东晓路与翠荫路交汇处		568	-	-
日豪名园	罗湖区 桂园蔡屋围 	 罗湖区桂园片区宝安南路2139号		280	120	深圳市东江渔村实业有限公司
骏庭名园	罗湖区 桂园蔡屋围 	 罗湖区宝安南路与红宝路交汇处西北侧		681	300	佳宁娜（深圳）投资有限公司
金银园	罗湖区 银湖 	 罗湖区金湖路南侧（坭岗幼儿园对面）		414	200	深圳市花样年开发商有限公司
龙园苑	罗湖区 黄贝岭 	 罗湖区文华片区沿河南路3008号		-		-
金园大厦	罗湖区 宝安南 	 罗湖区宝安南路3088号		580	-	-
保利城花园	南山区 南山中心区 	 南海大道与创业路交汇处		460	668	深圳市保利城实业有限公司
半山海景别墅	南山区 蛇口 	 蛇口沿山路北		76	-	深圳招商房地产有限公司
众孚大厦	福田区 石厦 	 福田区福民路139号		336	40	众孚集团
漾福居	福田区 华强南	南园 		572	250	深圳市榕江实业有限公司
怡枫尚品	福田区 景田片区 	 福田莲花路与景田东路交汇处		185		深圳市华熙房地产有限公司
益田花园	福田区 皇岗片区 	 福田区益田路与福强路交汇处东南侧（皇岗公园南侧）		540	426	深圳赛格高技术投资股份有限公司
振业花园	福田区 彩田莲花 	 福田区皇岗路		672	158	深圳市振业（集团）股份有限公司
御庭园	福田区 皇岗 	 福田区金田南路1003号		256	110	深圳桑达房地产开发有限公司
香蜜二村	福田区 景田 	 福田区景田南路与香梅路交汇处		679	60	深圳市住建局
雅云轩	福田区 石厦 	 福田区石厦北三街4号		240	98	深圳市金众房地产有限公司
瀚海翠庭	盐田区 沙头角 	 盐田沙深路与金融路交汇处西南侧		528	130	深圳市荣津房地产开发有限公司
润华苑	福田区 下梅林 	 梅林路北侧		420	200	深圳市润裕房地产开发有限公司
地质局大院	福田区 华强百花 	 福田区振兴路5号		-		-
现代苑	福田区 彩田莲花 	 福田区红荔西路5005号		196		-
显锐大厦	福田区 皇岗 	 福田区福强路海滨广场2018号		128		-
南方明珠花园	盐田区 盐田片区 	 盐田区东海道与洪安璐交汇处西北侧		490	336	深圳市盐田港房地产开发有限公司
东乐花园(宝安)	宝安区 沙井 	 宝安区沙井街道东塘村东塘大街1号		563	-	-
天威花园	福田区 彩田莲花 	 福田区彩田路6001号		484	40	深圳市广电集团
润裕山景豪苑鸿浩山庄二期	福田区 下梅林 	 福田区梅林路与龙尾路交汇处西北侧		112	77	深圳市润裕房地产开发有限公司
新世界广场四期	龙岗区 横岗 	 横岗镇		348	-	深圳新亚洲实业发展有限公司
鲁班大厦	福田区 景田 	 福田区红荔西路7022号		448	300	天健房地产开发有限公司
宝安19区住宅	宝安区 新安老城片区 	 深圳市宝安新安		-		深圳市宝安广信房地产开发公司
江南名苑	福田区 皇岗 	 福田区福强路2143号		340	350	祈昱地产(深圳)有限公司
南贸中心	南山区 南头 	 南山区桃园路与南新路交汇处东北侧		-		-
通业花园	福田区 下梅林 	 下梅林一街		396	400	深圳市通业投资有限公司
裕安花园(新安)	宝安区 新安老城 	 宝安区建安路与创业二路交汇处东侧		1108	-	-
南光名仕苑	福田区 皇岗 	 福田区福田街道福强路与金田路交汇处西南侧		350	109	深圳市南光开发有限公司
银座金钻	罗湖区 宝安南 	 罗湖罗湖区东门南路3003号		2000	120	深圳市益田集团股份有限公司
洪湖花园	罗湖区 洪湖 	 罗湖区笋岗片区洪湖路10号		696	792	深圳市恒安房地产开发有限公司
骏皇嘉园	福田区 新洲 	 新沙二路南		289	80	深圳市凯方实业发展有限公司
新洲花园	福田区 新洲片区 	 福田区新洲一街与新洲十一街交汇处东南侧		768	125	福田建筑局
湖心大厦	罗湖区 宝安南 	 罗湖区南湖路与嘉宾路交汇处西北侧		352		-
金福大厦	罗湖区 翠竹 	 罗湖区翠竹片区翠竹路1008号		220		深圳市天健房地产开发实业有限公司
惠名花园	罗湖区 莲塘 	 罗湖区罗沙路与梧桐山南路交汇处东南侧		384	100	深圳市惠名房地产开发有限公司
汇鑫花园一期	罗湖区 黄贝岭 	 罗湖区沿河南路与北斗路交汇处东北侧		1300	87	深圳市世纪汇鑫实业集团有限公司
华景园御庭轩	罗湖区 莲塘片区 	 罗湖区畔山路与国威路交汇处东侧		206	100	深圳市莲塘房地产开发有限公司
翠景山庄一期	罗湖区 布心片区 	 罗湖区松泉一路		-	-	深圳市文华实业开发公司
翠沁阁	罗湖区 翠竹 	 东门北路		174	-	深圳经济特区房地产（集团）股份有限公司
芳邻大厦	罗湖区 东门 	 罗湖区人民北路3080号		288		-
东深小区	罗湖区 水库 	 罗湖区沿河北路2022号		-	-	-
东晓花园	罗湖区 布心 	 罗湖区东晓路2001号		175	-	-
海丽大厦	罗湖区 黄贝岭 	 罗湖区文锦中路1018号		616		深圳市中海集团开发有限公司
中海华庭北区中海大厦	福田区 福田中心区 	 福田区民田路89号‎		620	509	深圳中海房地产开发有限公司
福德花园大厦	罗湖区 黄贝岭 	 罗湖区深南东路1118号		516	230	天津福德花园投资有限公司
锦文阁	福田区 景田 	 福田区景田南路3号		400	410	金众发展有限公司
宏浩花园	福田区 景田 	 福田区香梅路2004号		305	600	深圳市宏浩实业有限公司
宏轩大厦	福田区 石厦 	 石厦北一街		424	107	深圳市润裕房地产开发有限公司
世纪村二期	南山区 红树湾 	 沙河东路东，深南大道南		-	2100	沙河实业股份有限公司
世界花园海华居	南山区 华侨城 	 南山区侨城西街9号		582	700	深圳世界花园房地产发展有限公司
3号线城市公寓二期	龙岗区 横岗 	 龙岗区横岗街道		698	-	深圳市森之润投资发展有限公司
华轩大厦	福田区 皇岗 	 福田区金田路2022号		120		振华盛实业（深圳）有限公司
招商海月花园五期	南山区 后海片区 	 南山工业七路与海月路交汇口北		647		-
深华商业大厦	罗湖区 宝安南 	 罗湖区嘉宾路2018号		-	-	-
招东小区二期	南山区 蛇口片区 	 蛇口招商路与爱榕路交汇处		-	140	招商地产开发有限公司
京基御景华城	福田区 华强南	南园 		3655	1032	深圳市京基房地产股份有限公司
滢水山庄三期	龙华区 民治 	 宝安区梅观高速公路与梅坂大道交汇处东侧		-	-	-
金庸阁一期	龙华区 龙华中心 	 宝安区龙华街道和平路与中环路交汇处东侧		192	100	深圳市平叶投资发展有限公司
蓝郡广场	盐田区 沙头角 	 盐田区沙头角海景二路		102	352	深圳市东埔实业集团有限公司
日出印象花园B区	龙华区 大浪 	 龙华街道布龙公路南侧		299	150	深圳市华来利实业有限公司
中信高尔夫天籁山庄	龙岗区 龙岗中心区 	 龙岗区宝荷路与嶂背路交汇处北侧		1215	-	中信深圳集团房地产开发有限公司
龙轩豪庭	福田区 皇岗 	 福田区福强路皇岗公园一街		408	215	深圳市华嵘世纪投资有限公司
康达尔花园五期	龙岗区 布吉片区 	 龙岗区布吉街道龙岗大道北侧（大芬地铁口旁）		1092	620	深圳市康达尔（集团）房地产开发有限公司
信义假日名城一期	龙岗区 布吉 	 布吉镇		252	200	深圳市信义房地产开发有限公司
百合星城二期	龙岗区 布吉 	 布吉镇罗岗路口		587	600	深圳市李朗业兴实业有限公司
中加名园二期	龙岗区 布吉 	 布吉镇		96		深圳派成铝业科技有限公司
华海雅苑	宝安区 西乡 	 宝安区西乡街道宝源路西南侧		491	328	深圳市方华房地产开发有限公司
海湾明珠花园一期	宝安区 西乡 	 西乡镇新湖		187	140	深圳市恒明珠房地产开发有限公司
锦绣江南二期	龙华区 民治片区 	 龙华新区民治街道布龙路与梅龙交汇处		735	-	-
南光紫荆苑	福田区 福田保税区 	 福田区紫荆道与桂花路交汇处南(福田保税区)		288	240	深圳市龙园山庄实业发展有限公司
榭丽花园	龙岗区 龙岗中心区 	 龙岗区龙岗街道龙河路		-	-	-
绿景新洋房	福田区 新洲片区 	 深圳市福田区新洲九路		200	106	深圳市绿景房地产开发有限公司
福安楼（西乡）	宝安区 西乡 	 宝安73区新安四路与锦花路交汇处天骄小学对面		-	-	深圳市富通房地产开发公司
罗马公元	龙岗区 龙岗中心区 	 龙岗区龙城街道龙福西路与愉福路交汇处北侧		374	545	深圳市宇宏投资集团有限公司
润裕花园	福田区 下梅林 	 福田区梅林路136号		168		-
环卫小区	罗湖区 翠竹片区 	 罗湖太宁路与翠竹路交汇处东南侧		-	-	-
金水湾御园	盐田区 盐田港 	 盐田区北山道和盐田路交界路口处		560	215	深圳市东海成房地产开发有限公司
佳华新村	宝安区 西乡片区 	 宝城73区		377	-	-
腾昌花园	龙岗区 横岗 	 横岗镇		160		广东省水利水电第二工程局深圳分公司
龙富花园(布吉)	龙岗区 布吉 	 龙岗区西环路与八约3街交汇处东北侧		-	-	深圳市龙联达实业股份有限公司
隆盛花园	龙岗区 横岗片区 	 龙岗区四联路与联盛港交汇处东北侧		664	200	深圳市鹏达房地产开发有限公司
龙富花园(平南)	龙岗区 龙岗中心区 	 龙岗区龙富路5号		410	-	-
中加名园一期	龙岗区 布吉 	 布吉镇老墟村		324	500	深圳派成铝业科技有限公司
南和花园	龙岗区 布吉 	 龙岗区布沙路100号		346		-
怡乐花园	龙岗区 布吉片区 	 龙岗区南湾街道布澜路与龙岗大道交汇处		794	500	中国房地产开发深圳公司
德兴花园北区	龙岗区 布吉 	 龙岗区西环路与德兴路交汇处西侧		2500	700	深圳德兴房地产开发有限公司
泓瀚苑	龙岗区 坂田 	 布吉镇坂田村		84	-	泓瀚实业（深圳）有限公司
家和花园一期	龙岗区 坂田 	 布吉镇		534	200	深圳市中原基业实业有限公司
宏兴苑	龙岗区 龙岗中心区 	 中心城		780	788	深圳市岗宏集团有限公司
龙威花园	龙岗区 布吉片区 	 龙岗区布吉街道京南路与中元路交汇处		-	1200	中海地产集团有限公司
华隆园	罗湖区 东门 	 中兴路与乐园街交汇处翠园街27号		568	-	深圳厦飞龙置业发展有限公司
尚景欣园一期	龙岗区 龙岗中心区 	 中心城		138	124	深圳市尚模发展有限公司
银丰大厦	罗湖区 黄贝岭 	 罗湖区罗湖区罗沙路5097号		300	-	-
泰华海逸世家	宝安区 宝中 	 宝安新中心区N7区新湖路与新安西路交界处北侧（悦龙宾馆附近）		-	-	泰华房地产中国有限公司
宝丽苑	龙岗区 布吉 	 布吉镇		181	100	盛世房地产开发(深圳)有限公司
盛地龙泉	龙华区 龙华中心 	 龙华镇人民路东侧		-	83	深圳市龙泉实业（集团）股份有限公司
中航凯特公寓	罗湖区 桂园蔡屋围 	 罗湖区宝安中路西侧		434	500	深圳中航城发展有限公司
明月花园	福田区 石厦片区 	 福田区石厦北三街与石厦北六街交汇处		693	260	广东光大建安集团
