名称	区	地址	类型	房源数	车位数	开发商
甲壳虫之家	东莞 寮步 	 东莞市寮步镇国际汽车城霞边村寮城中路		-	-	东莞市三盈房地产开发有限公司
光耀翡俪港	惠州 惠城区 	 惠州市上东平（光耀荷兰水乡对面）		1026	1900	光耀集团
恒基御景华庭	惠州 惠阳区 	 惠阳区金秋大道		702	313	惠州市英托实业有限公司
新世界曦岸	惠州 惠城区 	 惠城区东江新城		936	1105	新世界中国地产有限公司
中信德方斯	东莞 东城 	 东莞市东城行政中心长泰路与与东莞大道交汇处		944	509	中信华南（集团）东莞有限公司
领尚天地	东莞 大岭山 	 东莞市大岭山镇107国道北侧		606	-	金亿利(东莞)房地产开发有限公司
新里城西城道	东莞 道滘 	 东莞市道滘镇蔡白区港口大道		1168	580	东莞市水岸丽城置业投资有限公司
金莎雅苑	东莞 大朗 	 东莞市大朗镇美景大道和富民大道交汇处（新世纪添一居对面）		390	362	东莞市通盛实业投资有限公司
四洲蜜方	惠州 大亚湾 	 大亚湾区澳头镇北澳大道旁		-	307	惠州市安邑房地产开发有限公司
天烽新地	惠州 惠城区 	 惠城区东平半岛吉之岛斜对面		-	124	惠州市天烽实业发展有限公司
星河半岛	惠州 惠阳区 	 大亚湾区石化大道512号科技创新产业园旁		693	285	惠州大亚湾集友发展有限公司
盛世华府	惠州 惠城区 	 惠城区江北5号小区菊花一路6号（广电大厦旁）		700	600	惠州金城房产开发有限公司
德轩公寓	惠州 惠城区 	 惠城区仲恺高新区7号小区（大荣购物广场沿和畅二路向北700米）		299	200	惠州正辰实业发展有限公司
新园华府	惠州 大亚湾 	 大亚湾区西区响水河工业区南部（比亚迪二期北面）		1251	721	大亚湾卓洲投资发展有限公司
东南首府	惠州 惠城区 	 惠城区江北新沥路41号（惠台小学旁）		224	188	惠州市东南房产开发有限公司
怡景湾花园	惠州 惠东区 	 惠东县华侨城市民文化广场旁		876	180	惠东股益房地产开发有限公司
惠东国际新城	惠州 惠东区 	 惠东县广汕路与环城南路交汇处（银基商贸城南面）		3000	3000	广东金宝集团有限公司 惠东县长江房地产投资有限公司
天诚国际	东莞 南城 	 东莞南城区鸿福西路		334	121	东莞市天诚房地产开发有限公司
鸿隆江山	惠州 博罗区 	 惠城区惠博沿江景观大道旁(新博中对面)		-	725	惠州市银泰达实业有限公司
鹏达御西湖	惠州 惠城区 	 惠州市惠城区江南下角中路26号(原机械厂)(原机械厂)		2287	2132	惠州市鹏达实业发展集团有限公司
双星公寓	惠州 惠阳区 	 西区龙盛一路与龙山二路交界处新寮龙盛一路8号		-	-	惠州大亚湾和瑞实业发展有限公司
